,User,Tweet,Like Count,Retweet count,Education Affiliation,Sentiment,Subjectivity,Opinion Expressed
0,MrsWall08620646,"After a lovely chat with @OBWax in June, I am now in a TIME magazine article 🤯Who would have thought #AIineducation… https://t.co/FJGsttjWsU",4,0,FALSE,Positive,Very biased,FALSE
1,13esu,"RT @ESUCC: Interested in learning more about #AIinEducation?🤖
Then check out this #SocialPD Story from @lherr of @esu6pd on #chatgpt4 and h…",0,2,FALSE,Positive,Slightly biased,FALSE
2,ellen_nayeli,"Exciting News from AcademicHelp🚀
We are pumped to introduce the Learning Hub 👨‍🎓 👩‍🎓 And we are kicking off with Fr… https://t.co/N8jamUWOhG",0,0,FALSE,Positive,Very biased,FALSE
3,lacoe_ito,"@MJMadda @Google @Choangy1 Thank you, Dr. Madda. Your keynote was an eye-opening, inspirational, and fun way to kic… https://t.co/jB3nmN85iY",0,0,FALSE,Positive,Very biased,FALSE
4,HeidiSiwak,Check out my latest article: Helping Children Become Thoughtful Users of Generative AI (Part1)… https://t.co/nKQYNJWQZt,1,0,FALSE,Positive,Very biased,TRUE
5,therealjpittman,Harvard researchers are exploring new ways to utilize ChatGPT in education. Discover how this technology is transfo… https://t.co/GMejZ2Qjcm,0,0,FALSE,Positive,Slightly biased,TRUE
6,lightspeedsys,"TODAY! | #AI is the hottest 🔥 topic in #edtech right now, so you don't want to miss this! Join  our Lightspeed Lear… https://t.co/hKBeDwRniY",0,0,FALSE,Positive,Very biased,FALSE
7,HMustaqbil,"Let's continue exploring the limitless possibilities of AI together!

#hamaramustaqbil #skillshareweek #aiineducation",0,0,FALSE,Positive,Slightly biased,TRUE
8,EduaideAi,"RT @leaningshane: Imagine a future where AI supports personalisation for every student, tailoring lessons to unique needs. Less workload fo…",0,1,TRUE,Positive,Very biased,TRUE
9,bruff73,"🤝 Join our session on ethical AI use in education! Educators and administrators will explore biases, privacy, and r… https://t.co/WsehTt6CLD",0,0,FALSE,Positive,Slightly biased,TRUE
10,Stottack_Tech,"Check out these fantastic AI books! 🔥 📘 
.
.
#AI, #ArtificialIntelligence, #MachineLearning, #DataScience,… https://t.co/Hwc3iKkGXG",1,0,FALSE,Positive,Very biased,FALSE
11,HarvardBizEdu,"Will #AI replace the educator?  

Join professors David Lefevre and @DavidShrier of @ImperialBiz to learn more abou… https://t.co/Hz3Kb9d2XU",0,0,TRUE,Positive,Slightly biased,FALSE
12,alaba_ai,"Take a look at the future of #knowledge with LLM!!!🧐

https://t.co/DUkWZACsLJ

#ai #automation #LLM #ChatGPT… https://t.co/LqiEd1QD8g",0,0,FALSE,Neutral,Very biased,TRUE
13,ShellTerrell,"RT @leadlearnlab: 💥 New Blog Post: AI in Education: Friend or Foe?
💡 Decoding the Power of Responsible Use 
🔗 https://t.co/JnjqqMRms0 

#AI…",0,1,FALSE,Positive,Very biased,TRUE
14,leadlearnlab,"💥 New Blog Post: AI in Education: Friend or Foe?
💡 Decoding the Power of Responsible Use 
🔗 https://t.co/JnjqqMRms0… https://t.co/9owLZMwrMz",1,1,TRUE,Positive,Very biased,TRUE
15,SarahRLasseter,"Excited to share my latest #YouTube video on AI Video Tools for students &amp; teachers: https://t.co/X0u2RxjhaV
Explor… https://t.co/E8gC9bR0jz",0,0,FALSE,Positive,Very biased,TRUE
16,ReidMcLain,"RT @MyEdTechLife: 🎧 TONIGHT on #MyEdTechLife: Explore the future of learning with @margiemeacham, ""The Brain Lady!"" 

Dive into AI, neurosc…",0,1,FALSE,Neutral,Slightly biased,FALSE
17,webhostville,"Exploring the Transformative Trends Shaping EdTech https://t.co/tNz39S5hbX

The transformative trends in EdTech are… https://t.co/h9aYGqAZ7L",0,0,FALSE,Neutral,Factual,TRUE
18,ClassPointIo,Transform your education experience with AI! The A-Z guide to AI in Education 2023 covers everything from history t… https://t.co/egDFsmE4rV,1,2,FALSE,Neutral,Factual,TRUE
19,EdTechEurope,"🏆In this week's 2023 EdTechX Award Winner spotlight, CEO Dr. Sven Schütt shares insights into IU Group's approach a… https://t.co/yalUv0nCnv",0,0,FALSE,Neutral,Factual,FALSE
20,digitalenabled,@davidjmalan hit the nail on the head regarding #AIinEducation “... support students as we can through software and… https://t.co/xYEhweE4He,0,0,FALSE,Neutral,Factual,TRUE
21,leaningshane,"Imagine a future where AI supports personalisation for every student, tailoring lessons to unique needs. Less workl… https://t.co/ub0aC7nWFu",3,1,FALSE,Positive,Slightly biased,TRUE
22,cherylabla,"RT @Rdene915: Now scheduling summer PD &amp; small group coaching. Want to learn more about #AI, #chatgpt, #AR #VR #STEM and more?  #education…",0,3,FALSE,Positive,Slightly biased,FALSE
23,DailyAIEdu,Dive deep into the next-gen learning! Uncover how AI technologies revolutionize STEM education in the past decade!… https://t.co/5IvRhs6ifP,0,0,TRUE,Negative,Slightly biased,TRUE
24,EduaideAi,RT @leaningshane: The big questions: Does #AI make teachers obsolete? How to use it effectively and ethically? New insights from @EduaideAi…,0,1,TRUE,Positive,Slightly biased,TRUE
25,leaningshane,The big questions: Does #AI make teachers obsolete? How to use it effectively and ethically? New insights from… https://t.co/cime6DcLQo,4,1,FALSE,Positive,Slightly biased,TRUE
26,KristinOropeza,"RT @lacoe_ito: We would like to extend a big thank you to @SueThotz , @thatdopeteacher, and the other presenters at the #LACOE AI Symposium…",0,1,FALSE,Negative,Slightly biased,FALSE
27,EduLinkAI,🎉 NSW high schools are introducing 4 new digital &amp; IT subjects in 2024! 📚 This major curriculum overhaul includes A… https://t.co/jmbJKopdDQ,0,0,TRUE,Positive,Slightly biased,FALSE
28,SunshineOdoji,"📷 Exciting times at Schoolinka! 📷📷 Recently, I had the privilege of sharing the wonders of Artificial Intelligence… https://t.co/jQj0qDBTK0",1,0,FALSE,Positive,Very biased,TRUE
29,AITeacherNet,"What place does ChatGPT have within the writing process, and how do we integrate ChatGPT into the writing classroom… https://t.co/KYRVhxsdtg",0,0,TRUE,Neutral,Factual,TRUE
30,AITeacherNet,"RT @AITeacherNet: Are you an educator who's hesitant to embrace AI? Fear not! In this post, we explore how ChatGPT can make your teaching r…",0,1,TRUE,Neutral,Factual,TRUE
31,ZeinaChalich,"Will #AI wipe out architects? 🛕

The ability to create Corbusier-style marvels and 500-room hotels with just a clic… https://t.co/0RewFN5FRJ",0,0,FALSE,Negative,Factual,TRUE
32,lacoe_ito,"We would like to extend a big thank you to @SueThotz , @thatdopeteacher, and the other presenters at the #LACOE AI… https://t.co/gb16I2diQS",11,1,FALSE,Positive,Slightly biased,FALSE
33,DavidHurwitz,"A new dawn of education is in the offing due to the confluence of four things: Apple Vision, newly capable #AI, the… https://t.co/mDkrWvL6ED",1,0,FALSE,Positive,Slightly biased,TRUE
34,DavidHurwitz,Parentally controlled ed $$$ = breakout opportunity for @Apple Vision Personal Tutors. #MoneyFollowsTheChild will l… https://t.co/HWYkpfaDqH,1,0,FALSE,Neutral,Slightly biased,TRUE
35,JoinCyberSquare,"Congratulations to St. Xavier's School in Mansa, Punjab, for embracing the future of education! 

Visit… https://t.co/BNQwyYAsGo",0,0,FALSE,Neutral,Slightly biased,FALSE
36,arieda_muco,🚀 In this article I discuss Chat-GPT became my  teaching partner this year. #AIinEducation #ChatGPT #CollaborativeLearning  #EdTech,0,0,FALSE,Neutral,Factual,TRUE
37,kduttnk,RT unicon Discover how we leveraged ML to create supercharged student groups for dynamic classroom activities in ou… https://t.co/WhSZ3nLL7j,0,0,FALSE,Neutral,Slightly biased,TRUE
38,unicon,Discover how we leveraged ML to create supercharged student groups for dynamic classroom activities in our free ebo… https://t.co/KtYOhZ3Qco,0,0,FALSE,Positive,Slightly biased,TRUE
39,iJanetteCamacho,"👩‍🏫🧠 Embrace AI in Education! Join me at #IETC in Springfield, IL, Nov 1-3 🗓️. Learn about professional training, e… https://t.co/JLvrlTYYVj",5,0,FALSE,Positive,Slightly biased,TRUE
40,Ed3educators,"RT @Ed3DAO: ChatGPT &amp; clones are revolutionizing education! Educators are preparing to utilize this AI, transforming classrooms &amp; student s…",0,1,TRUE,Positive,Factual,TRUE
41,GlobalEdAction,Ready to explore the potential of #AI in education? Start with our curated collection: https://t.co/kZVF64HpmW #AIinEducation #AImpactEd,2,2,FALSE,Positive,Very biased,TRUE
42,Ed3DAO,"ChatGPT &amp; clones are revolutionizing education! Educators are preparing to utilize this AI, transforming classrooms… https://t.co/QtoWwvrjCK",2,1,FALSE,Positive,Factual,TRUE
43,MyEdTechLife,"🎧 TONIGHT on #MyEdTechLife: Explore the future of learning with @margiemeacham, ""The Brain Lady!"" 

Dive into AI, n… https://t.co/xxdRs7ijAR",7,1,FALSE,Neutral,Slightly biased,TRUE
44,ButlerCountyESC,"📢 Calling all educators &amp; administrators!
Share your expertise at the National Conference on AI for K-12 Educators!… https://t.co/P5JS6pLo4T",3,0,FALSE,Neutral,Factual,FALSE
45,TerryKTeacher,Students at @ssisschool were candid about the role of AI in their learning. They want to learn how to use AI effici… https://t.co/ZbHIh2XC5I,2,0,TRUE,Positive,Very biased,TRUE
46,leadlearnlab,"💥 New Blog Post: AI in Education: Friend or Foe? 
💡 Uncover how leaders can use AI responsibly for effective learni… https://t.co/bzmxkmPMzn",0,0,TRUE,Positive,Very biased,TRUE
47,StridefutureT,"""Learning's Future: Embracing the Power of AI in Education!
.
.
.
#AIinEducation #techforward #educationrevolution… https://t.co/S6kaNpJvL1",1,0,FALSE,Neutral,Slightly biased,TRUE
48,quaruleinc1,"Can universities spot ChatGPT? 
Unveiling ChatGPT in universities hinges on multiple factors. Yet, institutions can… https://t.co/UX7pfIgObo",0,0,FALSE,Neutral,Factual,TRUE
49,LiamDawson7379,🌟 Discover the future of education with Soffos AI - a revolutionary AI solution! 🚀📚 Embrace the cutting-edge techno… https://t.co/Mz5SHAYtpy,0,0,FALSE,Neutral,Slightly biased,TRUE
50,NadiaForde6,"Revolutionizing Education: The Beneficial Impact Of AI
Discover how AI is revolutionizing education, empowering lea… https://t.co/sBIQouTjwO",0,0,FALSE,Positive,Factual,TRUE
51,alaba_ai,"AI has come to change our entire world. Get hooked on the new intelligent age.🦾
Visit our page… https://t.co/SrDLOmWZAd",0,0,FALSE,Positive,Very biased,TRUE
52,KatieJMcNamara,Excited to be part of The AImpactEd Summit! Level up your #AI skills and explore how #ChatGPT can revolutionize tea… https://t.co/dyrETHXzG4,18,5,FALSE,Positive,Very biased,TRUE
53,AInnovationAI,📢 Check out this blog post on how Artificial Intelligence is revolutionizing San Francisco classrooms! Learn how AI… https://t.co/q280OOqQg8,0,0,FALSE,Positive,Very biased,TRUE
54,GlobalEdAction,Discover the role of #AI in the future of learning! Our resources can enlighten you: https://t.co/kZVF64HpmW #AIinEducation,1,0,FALSE,Neutral,Slightly biased,TRUE
55,boubacarbarry,RT @boubacarbarry: 1/10 🚀🧠 AI is transforming education in ways we never imagined. But what does this mean for students and teachers? Let's…,0,1,FALSE,Negative,Very biased,TRUE
56,AestraByOCPL,"""Redefining learning with AI! Classroom experience is now digital with chatbot-powered education quizzes. Personali… https://t.co/utG6uk872y",0,0,FALSE,Neutral,Factual,TRUE
57,7anac,"📢📚 Discover how generative AI is transforming education! 🚀 While some educators struggle to keep up, students are d… https://t.co/HVtb5O8uu4",0,0,FALSE,Neutral,Factual,TRUE
58,MathMastermind1,"Greetings, educators! As we gear up for the 2023-2024 academic year, let’s embrace the future. Here are five tips t… https://t.co/jsnlW4mKzS",1,0,FALSE,Neutral,Slightly biased,TRUE
59,mcmageejr,"RT @MinervaUni: Minerva student-led initiative, AI Consensus, is one of 26 youth-led projects to receive a collective $2 million funding fr…",0,1,FALSE,Neutral,Factual,FALSE
60,ProfJudyKay,Excited to see the new issue of International Journal of Artificial Intelligence in Education.  Tackling the import… https://t.co/Uje1P5EmzG,29,5,FALSE,Neutral,Very biased,FALSE
61,thisismyurl,#AI is transforming the way we learn! Check out this great article from thisismyurl on how AI-enabled online educat… https://t.co/NRUIl59LnX,0,0,FALSE,Positive,Very biased,TRUE
62,DailyAIEdu,"Exploring a decade of AI in STEM! 🧪🤖 From automation to support systems, dive into our retrospective review of AI-d… https://t.co/PcJvnqprgM",0,0,TRUE,Neutral,Factual,TRUE
63,DailyAIEdu,"🤖📚💡 Personalized learning, automated tasks, and assessments - AI has the potential to revolutionize education. But… https://t.co/y0wLw7Fxnw",0,0,TRUE,Neutral,Very biased,TRUE
64,AI4Educators,"#AI #Teachertips #AIinEducation #edchat 

No need to reinvent the wheel. Take your existing material and let ChatGP… https://t.co/HjzXyTIc4D",0,0,TRUE,Neutral,Factual,TRUE
65,SchoolCouldBe,How can we use AI responsibly in schools? This article dives deep into the topic and challenges our thinking. Share… https://t.co/hvUgwAMCEq,5,3,TRUE,Positive,Slightly biased,TRUE
66,scotthmoss,"What an amazing day at yesterday's LACOE AI Symposium! So much skill, knowledge &amp; passion in one place. To keep up… https://t.co/NYCS2Zy2VA",1,0,FALSE,Positive,Very biased,FALSE
67,GlobalEdAction,Let's innovate education with #AI! Explore our collection to see how: https://t.co/kZVF64HpmW #AIinEducation #generativeAI,0,0,FALSE,Neutral,Factual,TRUE
68,reinforz,"If you have any other questions, feel free to reach out to us via our contact page: https://t.co/dMBYbI9Hae. 
We're… https://t.co/I2WA7nOwKq",8,0,FALSE,Positive,Very biased,FALSE
69,DailyAIEdu,"AI meets language learning! 🤖📚 Find out how intelligent tutoring systems are revolutionizing language education, br… https://t.co/iMaabRQGqm",0,0,TRUE,Positive,Very biased,TRUE
70,bruff73,"🔍 Learn to use ChatGPT for interactive classroom discussions! Empower teachers, engage students, and foster inclusi… https://t.co/wA7Vgr8URm",0,0,FALSE,Neutral,Factual,TRUE
71,tendaikwari,"#Algorithms are built by people with certain core values and beliefs, which can be transformed into… https://t.co/Zx3qdDtuWf",0,0,FALSE,Positive,Very biased,TRUE
72,Akali65,In my new video I share my reflections on the future of HE and AI &amp; explore 3 opportunities and 3 challenges create… https://t.co/XkIzWqSPAf,1,0,FALSE,Positive,Slightly biased,FALSE
73,mAyesha97,"Hong Kong Professors Caution Against Hasty Adoption of Generative AI on Campuses

#GenAI #AIinEducation… https://t.co/X3l7jmZ1OQ",0,0,FALSE,Negative,Factual,TRUE
74,linuxgroup,RT @ipsrAcademiX: 📚 Calling all Educators in India! 🌟 Join the National Online FDP on Outcomes-Based Education and AI Tools with the KSHC.…,0,2,FALSE,Neutral,Factual,FALSE
75,shortcutAI,"AI in Harvard!? OpenAI's GPT-4 completes its first semester in a humanities and social sciences course at Harvard,… https://t.co/PAZvEstIcT",0,0,FALSE,Positive,Slightly biased,FALSE
76,NieskensJD,"Help your school district stand out with @Brandmark_io! Create distinct, professional logos and visual identities t… https://t.co/O3Awndel6k",0,0,FALSE,Positive,Slightly biased,FALSE
77,MrsKylieHand,"Wow! What an excellent resource @Wharton! Not quite done with the series yet, but so far my favorite is Part 4 beca… https://t.co/tCouxeZM3u",4,0,FALSE,Positive,Very biased,FALSE
78,lacoe_ito,We have an amazing lineup for our AI Symposium Panel. @SMMendoza123 @ThatDopeTeacher  @kat_goyette @HaniyaSamaa Gar… https://t.co/fbY4fGLZfX,10,4,FALSE,Positive,Very biased,FALSE
79,AdvClassTech,@lacoe_ito @MerlynMind @Promethean We are happy to sponsor and even happier participating in such a thought-provoki… https://t.co/33MurMMlri,0,0,FALSE,Positive,Very biased,FALSE
80,DavidHurwitz,"#AI tutors, supervised by human educators, will provide personalized tutoring to students of all ages, from those l… https://t.co/4JBIYM4RFR",1,0,FALSE,Neutral,Slightly biased,TRUE
81,DavidHurwitz,"#AI + #AppleVisionPro = a product fusion of epochal proportions: personalized, encompassing, immersive experiences… https://t.co/PH2o9Wve9D",1,0,FALSE,Neutral,Factual,TRUE
82,DavidHurwitz,Apple Vision Personal Tutors will relieve parental frustration with #factoryschools &amp; the… https://t.co/F0WdD95rKA,1,0,FALSE,Neutral,Slightly biased,TRUE
83,DavidHurwitz,"#AppleVisionPro's epochal rise will be powered by world-changing products, category creating products, billionaire… https://t.co/jvuvhEwK19",0,0,FALSE,Neutral,Factual,FALSE
84,lacoe_ito,The wonderful @kat_goyette  from @CADeptEd getting to the nitty gritty of AI at the #LACOE AI Symposium. #LACOEAI… https://t.co/GYBUPZF772,21,5,FALSE,Positive,Very biased,FALSE
85,MinervaUni,"Minerva student-led initiative, AI Consensus, is one of 26 youth-led projects to receive a collective $2 million fu… https://t.co/PTiU7QBQVs",3,1,FALSE,Neutral,Factual,FALSE
86,WomenEd,"RT @ZeinaChalich: How might we balance technology with humanity to create inclusive, productive learning communities that allow people to f…",0,1,FALSE,Neutral,Factual,TRUE
87,CCIU_24,Want to learn how to include AI in your math or science classroom? Curious about how AI can revolutionize your assi… https://t.co/IjJFlgZCSc,4,3,FALSE,Negative,Very biased,TRUE
88,TraferaOfficial,"Enjoy our webinar with @HanrahanLEAP on unlocking the power of #AIinEdu? 🔓🔑

🕵️‍♀️ Discover more tips on… https://t.co/F7S5pggfgp",0,0,FALSE,Positive,Slightly biased,TRUE
89,DailyAIEdu,"🚀Blast off into the future of education with AI! 🤖 It's not just about robots taking over, it's about empowering ou… https://t.co/6BG2asF9QF",0,0,TRUE,Neutral,Slightly biased,TRUE
90,Akali65,Excited to share my new video! Discover 5 strategies fostering  learning with AI &amp; unique assessments that can't be… https://t.co/hpXRHi8AM3,1,0,FALSE,Positive,Very biased,TRUE
91,ellen_nayeli,"Getting ready for school with @quizgecko 📚
This AI-driven platform customizes your study tools and saves you time w… https://t.co/DXnHUDdsLq",1,0,FALSE,Positive,Slightly biased,TRUE
92,Bree_Gage,"@PBVUSD ELS energizing teachers and admin alike, our new assistant principal shares how to leverage AI to produce h… https://t.co/TElp4tcMlh",10,2,FALSE,Positive,Slightly biased,TRUE
93,JA_Maryland,"📣 Attention, parents and educators! 📣 Almost half

of teens express their likelihood to embrace AI in their schoolw… https://t.co/Xv636WEGwl",0,0,FALSE,Neutral,Slightly biased,TRUE
94,MizMoBile,"Digital skills are no longer enough. AI-powered digital literacy is a must in all sectors, education included.
The… https://t.co/O7c7tFESaL",1,0,FALSE,Neutral,Slightly biased,TRUE
95,GlobalEdAction,#OpenAI is making waves in education! Explore how with our curated resources. #AIinEducation https://t.co/kZVF64HpmW,1,0,FALSE,Neutral,Factual,TRUE
96,TCEA,Take a look at #ChatGPT prompts for educators! Learn how to craft your best prompt to maximize your results and get… https://t.co/BnrzcUCHil,88,36,FALSE,Positive,Slightly biased,TRUE
97,ButlerCountyESC,"📢 Save the Date: National Conference on AI for K-12 Schools! 

🗓️ Date: Nov 7 
⏰ Time: 8am-3pm to
📍 Location: Fairf… https://t.co/eZ8J5JbuPc",0,0,FALSE,Neutral,Factual,FALSE
98,bruff73,"📢 Join our ChatGPT in Education workshop! Enhance teaching, engage students, and simplify administrative tasks with… https://t.co/prhXnrL7f5",0,0,FALSE,Neutral,Factual,TRUE
99,adsolutions_orl,Let's dive into the AI-driven future of learning together! Here’s a quick read on how ChatGPT may impact and potent… https://t.co/Cmz6YJ3udZ,1,0,FALSE,Positive,Slightly biased,TRUE
100,wallacedanielle,"4 Reasons Language Models Can't Replace L&amp;D Expertise — Learning Guild

https://t.co/DYT5t2fD9V

#LanguageModels… https://t.co/TrbPuZd41H",0,0,FALSE,Negative,Factual,TRUE
101,tescaglobal,Our STEM/Robotics/AI education program is more than just a collection of projects. It's a comprehensive curriculum… https://t.co/Dt2APjAuUv,2,0,FALSE,Positive,Slightly biased,TRUE
102,JoshuaJClark_,"Digging into ""Architects of Intelligence: The Truth About AI From The People Building It"" (https://t.co/IJIlTJw8Ov)… https://t.co/iy7nnFywMF",0,0,FALSE,Neutral,Factual,FALSE
103,TheNatCollege,"📣 We have collaborated with Darren Coxon, #AI education specialist, to deliver a brand-new webinar for… https://t.co/bp3RurlCPq",2,0,FALSE,Neutral,Factual,FALSE
104,ipsrAcademiX,📚 Calling all Educators in India! 🌟 Join the National Online FDP on Outcomes-Based Education and AI Tools with the… https://t.co/Y8zqBqF6Zx,1,2,FALSE,Neutral,Factual,FALSE
105,bar_zie,Join the Conversation - Empowering Students in AI Education! Visit https://t.co/X3GE0Do0h8 to learn how AI advisory… https://t.co/QaYvOYoOzs,4,3,FALSE,Neutral,Factual,TRUE
106,Bromcom,"Another day, another Shard presentation 😎

Watch as Derek Hills discusses the 𝗽𝗼𝘄𝗲𝗿 𝗼𝗳 𝗔𝗜 𝘄𝗶𝘁𝗵𝗶𝗻 𝗲𝗱𝘂𝗰𝗮𝘁𝗶𝗼𝗻, includi… https://t.co/8c3UE8VSox",2,0,FALSE,Neutral,Factual,TRUE
107,ShakeUpLearning,"⏰ Only a Few Hours Left! 

🚀 Last call for the AI-Powered #ChoiceBoard Mini Workshop for $7! (Price goes up tomorro… https://t.co/t3j5xv5e7B",2,0,TRUE,Positive,Slightly biased,FALSE
108,GlobalEdAction,Find out how #AI is reshaping education. Our curated collection can guide you: https://t.co/kZVF64HpmW… https://t.co/cjQeqv3yiy,1,0,FALSE,Neutral,Factual,TRUE
109,ZeinaChalich,"How might we balance technology with humanity to create inclusive, productive learning communities that allow peopl… https://t.co/TdJfN4QOVM",6,1,FALSE,Neutral,Factual,TRUE
110,secondleif,"Highly recommended introduction to using AI in Education. #Edtech, #AIinEducation, #MIEExpert . Great set of videos… https://t.co/KYvsxmslcf",5,2,FALSE,Positive,Very biased,FALSE
111,jessicatenuta,RT @packbackco: 💫Deep Dives fulfills our purpose - helping students discover &amp; express their unique voices! Hear it from a student who leve…,0,1,FALSE,Positive,Very biased,FALSE
112,TraferaOfficial,"It's not too late! ⏰ Use #AIinEdu tips from @HanrahanLEAP to 🔎 discover how #TeachingWithAI can:

🏃‍♂️🏁 streamline… https://t.co/cQAbwK7TeP",0,0,FALSE,Negative,Very biased,FALSE
113,HanrahanLEAP,"RT @TraferaOfficial: ✅ Like this helpful infographic for teachers to make engineering an AI prompt easier? 

📆⏰ You'll love 🩵 our webinar w…",0,1,FALSE,Positive,Very biased,FALSE
114,Universus_tech,Ai has surpassed humans at a number of tasks and the rate at which humans are being surpassed at new tasks is incre… https://t.co/oA8LMgCrHH,0,0,FALSE,Negative,Slightly biased,TRUE
115,AInnovationAI,"""📚 How can artificial intelligence revolutionize classrooms? Central Florida schools are diving into this innovativ… https://t.co/lCtwbOIXNV",0,0,FALSE,Negative,Very biased,TRUE
116,packbackco,💫Deep Dives fulfills our purpose - helping students discover &amp; express their unique voices! Hear it from a student… https://t.co/LbryqL38MI,1,1,FALSE,Positive,Very biased,FALSE
117,TraferaOfficial,"✅ Like this helpful infographic for teachers to make engineering an AI prompt easier? 

📆⏰ You'll love 🩵 our webina… https://t.co/6VUooYLHSm",1,1,FALSE,Positive,Very biased,FALSE
118,MelissaCAdkins,Wow! Thanks @ISTEOfficial for this! https://t.co/VEuzzayUCt #AIinEducation,2,0,FALSE,Positive,Very biased,FALSE
119,ShakeUpLearning,"LAST DAY to Pre-Order 🦾 AI-Powered #ChoiceBoards Mini Workshop for ONLY $7! (save $20)
💻 Prompts
🧰 Tools
📝 Template… https://t.co/GwUMo1lpht",0,0,TRUE,Neutral,Very biased,FALSE
120,RaeSnape,"RT @theaieducatorX: When Google assign you an interior designer for your webcam background!

Looking forward to taking part in their Teachi…",0,1,FALSE,Neutral,Factual,FALSE
121,Tech_She_Can,A teacher has shared with @tes how she's leveraging AI in her classroom to enhance learning experiences. Are you us… https://t.co/ptvGeVioNW,3,0,FALSE,Neutral,Factual,TRUE
122,MasterYourStory,Visit us at https://t.co/NSeHrtCRl8 to discover how we're harnessing #AI to boost productivity and enhance student… https://t.co/3s6RRzqI45,0,0,FALSE,Neutral,Factual,TRUE
123,TirotG,"RT @TCEA: ✨Get an EDITABLE prompt template and create a rubric with #ChatGPT in less than one minute! 
👀 Watch it work its magic in an exam…",0,91,FALSE,Positive,Very biased,TRUE
124,GamaLearn,Exciting News: Part-2 of our latest blog is live! Discover academic integrity &amp; AI-powered cheating. Read now:… https://t.co/3yycR6ZW5e,2,0,TRUE,Negative,Very biased,TRUE
125,LivUniCIE,"RT @RobDLindsay: Exploring AI in Higher Education? Charlie Reis (Director EDU, XJTLU) shares vital insights on implementing AI for inclusiv…",0,1,FALSE,Positive,Slightly biased,TRUE
126,RobDLindsay,"Exploring AI in Higher Education? Charlie Reis (Director EDU, XJTLU) shares vital insights on implementing AI for i… https://t.co/eMEwxwu1JF",4,1,FALSE,Positive,Slightly biased,TRUE
127,codestudiopak,"HKU drops ban on students using AI tools

https://t.co/heClJDzy8a

#AIinEducation
#HKU
#AIinHKU
#AIIntegration… https://t.co/ytX5iawn8F",0,0,FALSE,Negative,Factual,TRUE
128,Mobiloitte,"Personalized learning powered by AI, makes education more student-friendly and effective. Discover this revolution… https://t.co/QT1njK5S81",1,0,FALSE,Positive,Very biased,TRUE
